Country,region,year,score,gdp,life_expectancy,freedom
Afghanistan,Asia,2019,3.203,0.350,0.361,0.000
Albania,Europe,2019,4.719,0.947,0.874,0.383
Algeria,Africa,2019,5.211,1.002,0.785,0.086
Argentina,South America,2019,6.086,1.092,0.881,0.471
Armenia,Asia,2019,4.559,0.850,0.815,0.283
Australia,Oceania,2019,7.228,1.372,1.036,0.557
Austria,Europe,2019,7.246,1.376,1.016,0.532
Azerbaijan,Asia,2019,5.208,1.043,0.769,0.351
Bahrain,Asia,2019,6.199,1.362,0.871,0.536
Bangladesh,Asia,2019,4.456,0.562,0.723,0.527
Belarus,Europe,2019,5.323,1.067,0.789,0.235
Belgium,Europe,2019,6.923,1.356,0.986,0.473
Benin,Africa,2019,4.883,0.393,0.397,0.349
Bhutan,Asia,2019,5.082,0.813,0.604,0.457
Bolivia,South America,2019,5.779,0.776,0.706,0.511
Bosnia and Herzegovina,Europe,2019,5.386,0.945,0.845,0.212
Botswana,Africa,2019,3.488,1.041,0.538,0.455
Brazil,South America,2019,6.300,1.004,0.802,0.390
Bulgaria,Europe,2019,5.011,1.092,0.815,0.311
Burkina Faso,Africa,2019,4.587,0.331,0.380,0.255
Burundi,Africa,2019,3.775,0.046,0.380,0.220
Cambodia,Asia,2019,4.700,0.574,0.637,0.609
Cameroon,Africa,2019,5.044,0.549,0.331,0.381
Canada,North America,2019,7.278,1.365,1.039,0.584
Central African Republic,Africa,2019,3.083,0.026,0.105,0.225
Chad,Africa,2019,4.350,0.350,0.192,0.174
Chile,South America,2019,6.444,1.159,0.920,0.357
China,Asia,2019,5.191,1.029,0.893,0.521
Colombia,South America,2019,6.125,0.985,0.841,0.470
Comoros,Africa,2019,3.973,0.274,0.505,0.142
Congo (Brazzaville),Africa,2019,4.812,0.673,0.508,0.372
Congo (Kinshasa),Africa,2019,4.418,0.094,0.357,0.269
Costa Rica,North America,2019,7.167,1.034,0.963,0.558
Croatia,Europe,2019,5.432,1.155,0.914,0.296
Cyprus,Europe,2019,6.046,1.263,1.042,0.406
Czech Republic,Europe,2019,6.852,1.269,0.920,0.457
Denmark,Europe,2019,7.600,1.383,0.996,0.592
Dominican Republic,North America,2019,5.425,1.015,0.779,0.497
Ecuador,South America,2019,6.028,0.912,0.868,0.498
Egypt,Africa,2019,4.166,0.913,0.644,0.241
El Salvador,North America,2019,6.253,0.794,0.789,0.430
Estonia,Europe,2019,5.893,1.237,0.874,0.495
Ethiopia,Africa,2019,4.286,0.336,0.532,0.344
Finland,Europe,2019,7.769,1.340,0.986,0.596
France,Europe,2019,6.592,1.324,1.045,0.436
Gabon,Africa,2019,4.799,1.057,0.571,0.295
Gambia,Africa,2019,4.516,0.308,0.428,0.382
Georgia,Asia,2019,4.519,0.886,0.752,0.346
Germany,Europe,2019,6.985,1.373,0.987,0.495
Ghana,Africa,2019,4.996,0.611,0.486,0.381
Greece,Europe,2019,5.287,1.181,0.999,0.067
Guatemala,North America,2019,6.436,0.800,0.746,0.535
Guinea,Africa,2019,4.534,0.380,0.375,0.332
Haiti,North America,2019,3.597,0.323,0.449,0.026
Honduras,North America,2019,5.860,0.642,0.828,0.507
Hong Kong,Asia,2019,5.430,1.438,1.122,0.440
Hungary,Europe,2019,5.758,1.201,0.828,0.199
Iceland,Europe,2019,7.494,1.380,1.026,0.591
India,Asia,2019,4.015,0.755,0.588,0.498
Indonesia,Asia,2019,5.192,0.931,0.660,0.491
Iran,Asia,2019,4.548,1.100,0.785,0.305
Iraq,Asia,2019,4.437,1.043,0.574,0.241
Ireland,Europe,2019,7.021,1.499,0.999,0.516
Israel,Asia,2019,7.139,1.276,1.029,0.371
Italy,Europe,2019,6.223,1.294,1.039,0.231
Ivory Coast,Africa,2019,4.944,0.569,0.232,0.352
Jamaica,North America,2019,5.890,0.831,0.831,0.490
Japan,Asia,2019,5.886,1.327,1.088,0.445
Jordan,Asia,2019,4.906,0.837,0.815,0.383
Kazakhstan,Asia,2019,5.809,1.173,0.729,0.410
Kenya,Africa,2019,4.509,0.512,0.581,0.431
Kosovo,Europe,2019,6.100,0.882,0.758,0.489
Kuwait,Asia,2019,6.021,1.500,0.808,0.493
Kyrgyzstan,Asia,2019,5.261,0.551,0.723,0.508
Laos,Asia,2019,4.796,0.764,0.551,0.547
Latvia,Europe,2019,5.940,1.187,0.812,0.264
Lebanon,Asia,2019,5.197,0.987,0.815,0.216
Lesotho,Africa,2019,3.802,0.489,0.168,0.359
Liberia,Africa,2019,3.975,0.073,0.443,0.370
Libya,Africa,2019,5.525,1.044,0.673,0.416
Lithuania,Europe,2019,6.149,1.238,0.818,0.291
Luxembourg,Europe,2019,7.090,1.609,1.012,0.526
Madagascar,Africa,2019,3.933,0.274,0.555,0.148
Malawi,Africa,2019,3.410,0.191,0.495,0.443
Malaysia,Asia,2019,5.339,1.221,0.828,0.508
Mali,Africa,2019,4.390,0.385,0.308,0.327
Malta,Europe,2019,6.726,1.300,0.999,0.564
Mauritania,Africa,2019,4.490,0.570,0.489,0.066
Mauritius,Africa,2019,5.888,1.120,0.798,0.498
Mexico,North America,2019,6.595,1.070,0.861,0.433
Moldova,Europe,2019,5.529,0.685,0.739,0.245
Mongolia,Asia,2019,5.285,0.948,0.667,0.317
Montenegro,Europe,2019,5.523,1.051,0.871,0.197
Morocco,Africa,2019,5.208,0.801,0.782,0.418
Mozambique,Africa,2019,4.466,0.204,0.390,0.494
Myanmar,Asia,2019,4.360,0.710,0.555,0.525
Namibia,Africa,2019,4.639,0.879,0.477,0.401
Nepal,Asia,2019,4.913,0.446,0.677,0.439
Netherlands,Europe,2019,7.488,1.396,0.999,0.557
New Zealand,Oceania,2019,7.307,1.303,1.026,0.585
Nicaragua,North America,2019,6.105,0.694,0.835,0.435
Niger,Africa,2019,4.628,0.138,0.366,0.318
Nigeria,Africa,2019,5.265,0.696,0.245,0.426
North Macedonia,Europe,2019,5.274,0.983,0.838,0.345
Northern Cyprus,Asia,2019,5.718,1.263,1.042,0.417
Norway,Europe,2019,7.554,1.488,1.028,0.603
Pakistan,Asia,2019,5.653,0.677,0.535,0.313
Palestinian Territories,Asia,2019,4.696,0.657,0.672,0.225
Panama,North America,2019,6.321,1.149,0.910,0.516
Paraguay,South America,2019,5.743,0.855,0.777,0.514
Peru,South America,2019,5.697,0.960,0.854,0.455
Philippines,Asia,2019,5.631,0.807,0.657,0.558
Poland,Europe,2019,6.182,1.206,0.884,0.483
Portugal,Europe,2019,5.693,1.221,0.999,0.508
Qatar,Asia,2019,6.374,1.684,0.871,0.555
Romania,Europe,2019,6.070,1.162,0.825,0.462
