Country,region,year,score,gdp
Afghanistan,Asia,2019,3.203,0.350
Afghanistan,Asia,2018,3.632,0.332
Afghanistan,Asia,2017,3.794,0.401
Afghanistan,Asia,2016,3.360,0.382
Afghanistan,Asia,2015,3.575,0.320
Albania,Europe,2019,4.719,0.947
Albania,Europe,2018,4.586,0.916
Albania,Europe,2017,4.644,0.996
Albania,Europe,2016,4.655,0.955
Albania,Europe,2015,4.959,0.879
Algeria,Africa,2019,5.211,1.002
Algeria,Africa,2018,5.295,0.979
Algeria,Africa,2017,5.872,1.092
Algeria,Africa,2016,6.355,1.053
Algeria,Africa,2015,5.605,0.939
Argentina,South America,2019,6.086,1.092
Argentina,South America,2018,6.388,1.073
Argentina,South America,2017,6.599,1.185
Argentina,South America,2016,6.650,1.151
Argentina,South America,2015,6.574,1.054
Armenia,Asia,2019,4.559,0.850
Armenia,Asia,2018,4.321,0.816
Armenia,Asia,2017,4.376,0.901
Armenia,Asia,2016,4.360,0.861
Armenia,Asia,2015,4.350,0.768
Australia,Oceania,2019,7.228,1.372
Australia,Oceania,2018,7.272,1.340
Australia,Oceania,2017,7.284,1.484
Australia,Oceania,2016,7.313,1.444
Australia,Oceania,2015,7.284,1.334
Austria,Europe,2019,7.246,1.376
Austria,Europe,2018,7.139,1.341
Austria,Europe,2017,7.006,1.487
Austria,Europe,2016,7.119,1.450
Austria,Europe,2015,7.200,1.337
Azerbaijan,Asia,2019,5.208,1.043
Azerbaijan,Asia,2018,5.201,1.024
Azerbaijan,Asia,2017,5.234,1.154
Azerbaijan,Asia,2016,5.291,1.124
Azerbaijan,Asia,2015,5.212,1.024
Bahrain,Asia,2019,6.199,1.362
Bahrain,Asia,2018,6.105,1.338
Bahrain,Asia,2017,6.087,1.488
Bahrain,Asia,2016,6.218,1.440
Bahrain,Asia,2015,5.960,1.324
Bangladesh,Asia,2019,4.456,0.562
Bangladesh,Asia,2018,4.500,0.532
Bangladesh,Asia,2017,4.608,0.587
Bangladesh,Asia,2016,4.643,0.542
Bangladesh,Asia,2015,4.694,0.398
Belarus,Europe,2019,5.323,1.067
Belarus,Europe,2018,5.483,1.039
Belarus,Europe,2017,5.569,1.157
Belarus,Europe,2016,5.802,1.131
Belarus,Europe,2015,5.813,1.032
Belgium,Europe,2019,6.923,1.356
Belgium,Europe,2018,6.927,1.324
Belgium,Europe,2017,6.891,1.464
