Country,year,score
Finland,2019,7.769
Denmark,2019,7.6
Norway,2019,7.554
Iceland,2019,7.494
Netherlands,2019,7.488
Switzerland,2019,7.48
Sweden,2019,7.343
New Zealand,2019,7.307
Canada,2019,7.278
Austria,2019,7.246
Australia,2019,7.228
Costa Rica,2019,7.167
Israel,2019,7.139
Luxembourg,2019,7.09
United Kingdom,2019,7.054
Ireland,2019,7.021
Germany,2019,6.985
Belgium,2019,6.923
United States,2019,6.892
Czech Republic,2019,6.852
United Arab Emirates,2019,6.825
Malta,2019,6.726
Mexico,2019,6.595
France,2019,6.592
Taiwan,2019,6.446
Chile,2019,6.444
Guatemala,2019,6.436
Saudi Arabia,2019,6.375
Qatar,2019,6.374
Spain,2019,6.354
Panama,2019,6.321
Brazil,2019,6.3
Uruguay,2019,6.293
Singapore,2019,6.262
El Salvador,2019,6.253
Italy,2019,6.223
Bahrain,2019,6.199
Slovakia,2019,6.198
Trinidad & Tobago,2019,6.192
Poland,2019,6.182
Uzbekistan,2019,6.174
Lithuania,2019,6.149
Colombia,2019,6.125
Slovenia,2019,6.118
Nicaragua,2019,6.105
Kosovo,2019,6.1
Argentina,2019,6.086
Romania,2019,6.07
Cyprus,2019,6.046
Ecuador,2019,6.028
Kuwait,2019,6.021
Thailand,2019,6.008
Latvia,2019,5.94
South Korea,2019,5.895
Estonia,2019,5.893
Jamaica,2019,5.89
Mauritius,2019,5.888
Japan,2019,5.886
Honduras,2019,5.86
Kazakhstan,2019,5.809
Bolivia,2019,5.779
Hungary,2019,5.758
Paraguay,2019,5.743
Northern Cyprus,2019,5.718
Peru,2019,5.697
Portugal,2019,5.693
Pakistan,2019,5.653
Russia,2019,5.648
Philippines,2019,5.631
Serbia,2019,5.603
Moldova,2019,5.529
Libya,2019,5.525
Montenegro,2019,5.523
Tajikistan,2019,5.467
Croatia,2019,5.432
Hong Kong,2019,5.43
Dominican Republic,2019,5.425
Bosnia and Herzegovina,2019,5.386
Turkey,2019,5.373
Malaysia,2019,5.339
Belarus,2019,5.323
Greece,2019,5.287
Mongolia,2019,5.285
North Macedonia,2019,5.274
Nigeria,2019,5.265
Kyrgyzstan,2019,5.261
Turkmenistan,2019,5.247
Algeria,2019,5.211
Morocco,2019,5.208
Azerbaijan,2019,5.208
Lebanon,2019,5.197
Indonesia,2019,5.192
China,2019,5.191
Vietnam,2019,5.175
Bhutan,2019,5.082
Cameroon,2019,5.044
Bulgaria,2019,5.011
Ghana,2019,4.996
Ivory Coast,2019,4.944
Nepal,2019,4.913
Jordan,2019,4.906
Benin,2019,4.883
Congo (Brazzaville),2019,4.812
Gabon,2019,4.799
Laos,2019,4.796
South Africa,2019,4.722
Albania,2019,4.719
Venezuela,2019,4.707
Cambodia,2019,4.7
Palestinian Territories,2019,4.696
Senegal,2019,4.681
Somalia,2019,4.668
Namibia,2019,4.639
Niger,2019,4.628
Burkina Faso,2019,4.587
Armenia,2019,4.559
Iran,2019,4.548
Guinea,2019,4.534
Georgia,2019,4.519
Gambia,2019,4.516
Kenya,2019,4.509
Mauritania,2019,4.49
Mozambique,2019,4.466
Tunisia,2019,4.461
Bangladesh,2019,4.456
Iraq,2019,4.437
Congo (Kinshasa),2019,4.418
Mali,2019,4.39
Sierra Leone,2019,4.374
Sri Lanka,2019,4.366
Myanmar,2019,4.36
Chad,2019,4.35
Ukraine,2019,4.332
Ethiopia,2019,4.286
Swaziland,2019,4.212
Uganda,2019,4.189
Egypt,2019,4.166
Zambia,2019,4.107
Togo,2019,4.085
India,2019,4.015
Liberia,2019,3.975
Comoros,2019,3.973
Madagascar,2019,3.933
Lesotho,2019,3.802
Burundi,2019,3.775
Zimbabwe,2019,3.663
Haiti,2019,3.597
Botswana,2019,3.488
Syria,2019,3.462
Malawi,2019,3.41
Yemen,2019,3.38
Rwanda,2019,3.334
Tanzania,2019,3.231
Afghanistan,2019,3.203
Central African Republic,2019,3.083
South Sudan,2019,2.853
Finland,2018,7.632
Denmark,2018,7.555
Norway,2018,7.594
Iceland,2018,7.495
Netherlands,2018,7.441
Switzerland,2018,7.487
Sweden,2018,7.314
New Zealand,2018,7.324
Canada,2018,7.328
Austria,2018,7.139
Australia,2018,7.272
Costa Rica,2018,7.072
Israel,2018,6.814
Luxembourg,2018,6.91
United Kingdom,2018,7.19
Ireland,2018,6.977
Germany,2018,6.965
Belgium,2018,6.927
United States,2018,6.886
Czech Republic,2018,6.711
United Arab Emirates,2018,6.774
Malta,2018,6.627
Mexico,2018,6.488
France,2018,6.489
Taiwan,2018,6.441
Chile,2018,6.476
Guatemala,2018,6.382
Saudi Arabia,2018,6.371
Qatar,2018,6.374
Spain,2018,6.31
Panama,2018,6.43
Brazil,2018,6.419
Uruguay,2018,6.379
Singapore,2018,6.343
El Salvador,2018,6.167
Italy,2018,6
Bahrain,2018,6.105
Slovakia,2018,6.173
Trinidad & Tobago,2018,6.192
Poland,2018,6.123
Uzbekistan,2018,6.096
Lithuania,2018,5.952
Colombia,2018,6.26
Slovenia,2018,5.948
Nicaragua,2018,6.141
Kosovo,2018,5.662
Argentina,2018,6.388
Romania,2018,5.945
Cyprus,2018,5.762
Ecuador,2018,5.973
Kuwait,2018,6.083
Thailand,2018,6.072
Latvia,2018,5.933
South Korea,2018,5.875
Estonia,2018,5.739
Jamaica,2018,5.89
Mauritius,2018,5.891
Japan,2018,5.915
Honduras,2018,5.504
Kazakhstan,2018,5.79
Bolivia,2018,5.752
Hungary,2018,5.62
Paraguay,2018,5.681
Northern Cyprus,2018,5.835
Peru,2018,5.663
Portugal,2018,5.41
Pakistan,2018,5.472
Russia,2018,5.81
Philippines,2018,5.524
Serbia,2018,5.398
Moldova,2018,5.64
Libya,2018,5.566
Montenegro,2018,5.347
Tajikistan,2018,5.199
Croatia,2018,5.321
Hong Kong,2018,5.43
Dominican Republic,2018,5.302
Bosnia and Herzegovina,2018,5.129
Turkey,2018,5.483
Malaysia,2018,6.322
Belarus,2018,5.483
Greece,2018,5.358
Mongolia,2018,5.125
North Macedonia,2018,0
Nigeria,2018,5.155
Kyrgyzstan,2018,5.131
Turkmenistan,2018,5.636
Algeria,2018,5.295
Morocco,2018,5.254
Azerbaijan,2018,5.201
Lebanon,2018,5.358
Indonesia,2018,5.093
China,2018,5.246
Vietnam,2018,5.103
Bhutan,2018,5.082
Cameroon,2018,4.975
Bulgaria,2018,4.933
Ghana,2018,4.657
Ivory Coast,2018,4.671
Nepal,2018,4.88
Jordan,2018,5.161
Benin,2018,4.141
Congo (Brazzaville),2018,4.559
Gabon,2018,4.758
Laos,2018,4.623
South Africa,2018,4.724
Albania,2018,4.586
Venezuela,2018,4.806
Cambodia,2018,4.433
Palestinian Territories,2018,4.743
Senegal,2018,4.631
Somalia,2018,4.982
Namibia,2018,4.441
Niger,2018,4.166
Burkina Faso,2018,4.424
Armenia,2018,4.321
Iran,2018,4.707
Guinea,2018,3.964
Georgia,2018,4.34
Gambia,2018,0
Kenya,2018,4.41
Mauritania,2018,4.356
Mozambique,2018,4.417
Tunisia,2018,4.592
Bangladesh,2018,4.5
Iraq,2018,4.456
Congo (Kinshasa),2018,4.245
Mali,2018,4.447
Sierra Leone,2018,4.571
Sri Lanka,2018,4.471
Myanmar,2018,4.308
Chad,2018,4.301
Ukraine,2018,4.103
Ethiopia,2018,4.35
Swaziland,2018,0
Uganda,2018,4.161
Egypt,2018,4.419
Zambia,2018,4.377
Togo,2018,3.999
India,2018,4.19
Liberia,2018,3.495
Comoros,2018,0
Madagascar,2018,3.774
Lesotho,2018,3.808
Burundi,2018,2.905
Zimbabwe,2018,3.692
Haiti,2018,3.582
Botswana,2018,3.59
Syria,2018,3.462
Malawi,2018,3.587
Yemen,2018,3.355
Rwanda,2018,3.408
Tanzania,2018,3.303
Afghanistan,2018,3.632
Central African Republic,2018,3.083
South Sudan,2018,3.254
Finland,2017,7.469
Denmark,2017,7.522
Norway,2017,7.537
Iceland,2017,7.504
Netherlands,2017,7.377
Switzerland,2017,7.494
Sweden,2017,7.284
New Zealand,2017,7.314
Canada,2017,7.316
